COLLECTION,RUNTIME (ns),Threads,READOP,WRITEOP,TOTALOP
CopyOnWriteArrayList,251829895,1,2000,18000,20000
CopyOnWriteArrayList,745671640,2,2000,18000,20000
CopyOnWriteArrayList,1381508375,3,2000,18000,20000
CopyOnWriteArrayList,2424350109,4,2000,18000,20000
CopyOnWriteArrayList,3799997278,5,2000,18000,20000
CopyOnWriteArrayList,5495007071,6,2000,18000,20000
CopyOnWriteArrayList,7421676282,7,2000,18000,20000
CopyOnWriteArrayList,9660800312,8,2000,18000,20000
CopyOnWriteArrayList,12274680477,9,2000,18000,20000
CopyOnWriteArrayList,15225682958,10,2000,18000,20000
CopyOnWriteArrayList,18491140032,11,2000,18000,20000
CopyOnWriteArrayList,21758164662,12,2000,18000,20000
CopyOnWriteArrayList,25658081136,13,2000,18000,20000
CopyOnWriteArrayList,29791228465,14,2000,18000,20000
CopyOnWriteArrayList,34958488574,15,2000,18000,20000
CopyOnWriteArrayList,39611992025,16,2000,18000,20000
CopyOnWriteArrayList,45176235421,17,2000,18000,20000
CopyOnWriteArrayList,51057552752,18,2000,18000,20000
CopyOnWriteArrayList,57500694624,19,2000,18000,20000
CopyOnWriteArrayList,65108308623,20,2000,18000,20000
CopyOnWriteArrayList,72725053269,21,2000,18000,20000
CopyOnWriteArrayList,81581243396,22,2000,18000,20000
CopyOnWriteArrayList,90689573706,23,2000,18000,20000
CopyOnWriteArrayList,100819685666,24,2000,18000,20000
CopyOnWriteArrayList,111838339660,25,2000,18000,20000
CopyOnWriteArrayList,123338932362,26,2000,18000,20000
CopyOnWriteArrayList,135840904770,27,2000,18000,20000
CopyOnWriteArrayList,148690160733,28,2000,18000,20000
CopyOnWriteArrayList,163561211038,29,2000,18000,20000
CopyOnWriteArrayList,178299570844,30,2000,18000,20000
CopyOnWriteArrayList,194053743352,31,2000,18000,20000
CopyOnWriteArrayList,210963849858,32,2000,18000,20000
CopyOnWriteArrayList,228400400381,33,2000,18000,20000
CopyOnWriteArrayList,246245721612,34,2000,18000,20000
CopyOnWriteArrayList,265044014491,35,2000,18000,20000
CopyOnWriteArrayList,285074704286,36,2000,18000,20000
CopyOnWriteArrayList,305091210152,37,2000,18000,20000
CopyOnWriteArrayList,327194630859,38,2000,18000,20000
CopyOnWriteArrayList,347681561366,39,2000,18000,20000
CopyOnWriteArrayList,370922473758,40,2000,18000,20000
CopyOnWriteArrayList,393884293470,41,2000,18000,20000
CopyOnWriteArrayList,420307542375,42,2000,18000,20000
CopyOnWriteArrayList,443361260785,43,2000,18000,20000
CopyOnWriteArrayList,468516196922,44,2000,18000,20000
CopyOnWriteArrayList,494408697241,45,2000,18000,20000
CopyOnWriteArrayList,519945643798,46,2000,18000,20000
CopyOnWriteArrayList,549112783409,47,2000,18000,20000
CopyOnWriteArrayList,575148560530,48,2000,18000,20000
CopyOnWriteArrayList,601614081308,49,2000,18000,20000
CopyOnWriteArrayList,636894302639,50,2000,18000,20000
CopyOnWriteArrayList,666419457706,51,2000,18000,20000
CopyOnWriteArrayList,697965249560,52,2000,18000,20000
CopyOnWriteArrayList,728272769007,53,2000,18000,20000
CopyOnWriteArrayList,758392812248,54,2000,18000,20000
CopyOnWriteArrayList,793660806263,55,2000,18000,20000
CopyOnWriteArrayList,824749553713,56,2000,18000,20000
SynchronizedList,31860026,1,2000,18000,20000
SynchronizedList,9369250,2,2000,18000,20000
SynchronizedList,8907117,3,2000,18000,20000
SynchronizedList,7373360,4,2000,18000,20000
SynchronizedList,14061179,5,2000,18000,20000
SynchronizedList,12506895,6,2000,18000,20000
SynchronizedList,27668897,7,2000,18000,20000
SynchronizedList,13749366,8,2000,18000,20000
SynchronizedList,15137060,9,2000,18000,20000
SynchronizedList,18518179,10,2000,18000,20000
SynchronizedList,25009029,11,2000,18000,20000
SynchronizedList,17866842,12,2000,18000,20000
SynchronizedList,18802551,13,2000,18000,20000
SynchronizedList,23183369,14,2000,18000,20000
SynchronizedList,22613145,15,2000,18000,20000
SynchronizedList,24632904,16,2000,18000,20000
SynchronizedList,35928613,17,2000,18000,20000
SynchronizedList,25221202,18,2000,18000,20000
SynchronizedList,28720670,19,2000,18000,20000
SynchronizedList,30479440,20,2000,18000,20000
SynchronizedList,33094818,21,2000,18000,20000
SynchronizedList,38120422,22,2000,18000,20000
SynchronizedList,32623364,23,2000,18000,20000
SynchronizedList,35136302,24,2000,18000,20000
SynchronizedList,42403108,25,2000,18000,20000
SynchronizedList,44948143,26,2000,18000,20000
SynchronizedList,48889520,27,2000,18000,20000
SynchronizedList,52543501,28,2000,18000,20000
SynchronizedList,42178617,29,2000,18000,20000
SynchronizedList,46073193,30,2000,18000,20000
SynchronizedList,46553029,31,2000,18000,20000
SynchronizedList,46408671,32,2000,18000,20000
