COLLECTION,RUNTIME (ns),Threads,READOP,WRITEOP,TOTALOP
SynchronizedList,11901578,47,1000,1000,2000
SynchronizedList,14345335,48,1000,1000,2000
SynchronizedList,10171874,49,1000,1000,2000
SynchronizedList,10187451,50,1000,1000,2000
SynchronizedList,11923262,51,1000,1000,2000
SynchronizedList,9703430,52,1000,1000,2000
SynchronizedList,10725256,53,1000,1000,2000
SynchronizedList,10993877,54,1000,1000,2000
SynchronizedList,12612579,55,1000,1000,2000
SynchronizedList,14026049,56,1000,1000,2000
SynchronizedList,12627552,57,1000,1000,2000
SynchronizedList,15484914,58,1000,1000,2000
SynchronizedList,15686517,59,1000,1000,2000
SynchronizedList,13592651,60,1000,1000,2000
CopyOnWriteArrayList,38831569,1,5000,5000,10000
CopyOnWriteArrayList,101368084,2,5000,5000,10000
CopyOnWriteArrayList,197741275,3,5000,5000,10000
CopyOnWriteArrayList,265476879,4,5000,5000,10000
CopyOnWriteArrayList,335090150,5,5000,5000,10000
CopyOnWriteArrayList,450610769,6,5000,5000,10000
CopyOnWriteArrayList,596948137,7,5000,5000,10000
CopyOnWriteArrayList,771024687,8,5000,5000,10000
CopyOnWriteArrayList,970557600,9,5000,5000,10000
CopyOnWriteArrayList,1192502390,10,5000,5000,10000
CopyOnWriteArrayList,1435313964,11,5000,5000,10000
CopyOnWriteArrayList,1697541601,12,5000,5000,10000
CopyOnWriteArrayList,1962949244,13,5000,5000,10000
CopyOnWriteArrayList,2278517967,14,5000,5000,10000
CopyOnWriteArrayList,2656992030,15,5000,5000,10000
CopyOnWriteArrayList,3046976484,16,5000,5000,10000
CopyOnWriteArrayList,3452830620,17,5000,5000,10000
CopyOnWriteArrayList,3818808756,18,5000,5000,10000
CopyOnWriteArrayList,4275158822,19,5000,5000,10000
CopyOnWriteArrayList,4733612341,20,5000,5000,10000
CopyOnWriteArrayList,5142791152,21,5000,5000,10000
CopyOnWriteArrayList,5696959881,22,5000,5000,10000
CopyOnWriteArrayList,6220210703,23,5000,5000,10000
CopyOnWriteArrayList,6745330118,24,5000,5000,10000
CopyOnWriteArrayList,7258107982,25,5000,5000,10000
CopyOnWriteArrayList,7943083012,26,5000,5000,10000
CopyOnWriteArrayList,8471549056,27,5000,5000,10000
CopyOnWriteArrayList,9073851431,28,5000,5000,10000
CopyOnWriteArrayList,10145604767,29,5000,5000,10000
CopyOnWriteArrayList,10425149277,30,5000,5000,10000
CopyOnWriteArrayList,11253361088,31,5000,5000,10000
CopyOnWriteArrayList,11830669079,32,5000,5000,10000
CopyOnWriteArrayList,12552807838,33,5000,5000,10000
CopyOnWriteArrayList,13418274882,34,5000,5000,10000
CopyOnWriteArrayList,14203659772,35,5000,5000,10000
CopyOnWriteArrayList,14926770739,36,5000,5000,10000
CopyOnWriteArrayList,15902913100,37,5000,5000,10000
CopyOnWriteArrayList,16682249292,38,5000,5000,10000
CopyOnWriteArrayList,17623897978,39,5000,5000,10000
CopyOnWriteArrayList,18579631770,40,5000,5000,10000
CopyOnWriteArrayList,19506256056,41,5000,5000,10000
CopyOnWriteArrayList,20420668473,42,5000,5000,10000
CopyOnWriteArrayList,21539138725,43,5000,5000,10000
CopyOnWriteArrayList,23470733992,44,5000,5000,10000
CopyOnWriteArrayList,23702762310,45,5000,5000,10000
CopyOnWriteArrayList,24818450969,46,5000,5000,10000
CopyOnWriteArrayList,25743946982,47,5000,5000,10000
CopyOnWriteArrayList,26971070815,48,5000,5000,10000
CopyOnWriteArrayList,28072822647,49,5000,5000,10000
CopyOnWriteArrayList,29312231775,50,5000,5000,10000
CopyOnWriteArrayList,30613056055,51,5000,5000,10000
CopyOnWriteArrayList,31931822229,52,5000,5000,10000
CopyOnWriteArrayList,33166653889,53,5000,5000,10000
