COLLECTION,RUNTIME (ns),Threads,READOP,WRITEOP,TOTALOP
CopyOnWriteArrayList,12078623,1,18000,2000,20000
CopyOnWriteArrayList,34142012,2,18000,2000,20000
CopyOnWriteArrayList,51741942,3,18000,2000,20000
CopyOnWriteArrayList,72783737,4,18000,2000,20000
CopyOnWriteArrayList,102293632,5,18000,2000,20000
CopyOnWriteArrayList,150610820,6,18000,2000,20000
CopyOnWriteArrayList,133186064,7,18000,2000,20000
CopyOnWriteArrayList,184034991,8,18000,2000,20000
CopyOnWriteArrayList,194560763,9,18000,2000,20000
CopyOnWriteArrayList,227603307,10,18000,2000,20000
CopyOnWriteArrayList,264984865,11,18000,2000,20000
CopyOnWriteArrayList,305557436,12,18000,2000,20000
CopyOnWriteArrayList,360553659,13,18000,2000,20000
CopyOnWriteArrayList,431870347,14,18000,2000,20000
CopyOnWriteArrayList,472986199,15,18000,2000,20000
CopyOnWriteArrayList,539563545,16,18000,2000,20000
CopyOnWriteArrayList,588072423,17,18000,2000,20000
CopyOnWriteArrayList,667977341,18,18000,2000,20000
CopyOnWriteArrayList,731565487,19,18000,2000,20000
CopyOnWriteArrayList,813215477,20,18000,2000,20000
CopyOnWriteArrayList,880561927,21,18000,2000,20000
CopyOnWriteArrayList,951056008,22,18000,2000,20000
CopyOnWriteArrayList,1050057465,23,18000,2000,20000
CopyOnWriteArrayList,1159855491,24,18000,2000,20000
CopyOnWriteArrayList,1232135705,25,18000,2000,20000
CopyOnWriteArrayList,1326008706,26,18000,2000,20000
CopyOnWriteArrayList,1430145322,27,18000,2000,20000
CopyOnWriteArrayList,1534719698,28,18000,2000,20000
CopyOnWriteArrayList,1656965544,29,18000,2000,20000
CopyOnWriteArrayList,1746470316,30,18000,2000,20000
CopyOnWriteArrayList,1893059031,31,18000,2000,20000
CopyOnWriteArrayList,2000592645,32,18000,2000,20000
CopyOnWriteArrayList,2098457629,33,18000,2000,20000
CopyOnWriteArrayList,2256788289,34,18000,2000,20000
CopyOnWriteArrayList,2426332715,35,18000,2000,20000
CopyOnWriteArrayList,2570462174,36,18000,2000,20000
CopyOnWriteArrayList,2695838418,37,18000,2000,20000
CopyOnWriteArrayList,2877227429,38,18000,2000,20000
CopyOnWriteArrayList,2987034180,39,18000,2000,20000
CopyOnWriteArrayList,3139975137,40,18000,2000,20000
CopyOnWriteArrayList,3325054981,41,18000,2000,20000
CopyOnWriteArrayList,3462000465,42,18000,2000,20000
CopyOnWriteArrayList,3619816079,43,18000,2000,20000
CopyOnWriteArrayList,3783447707,44,18000,2000,20000
CopyOnWriteArrayList,3984563569,45,18000,2000,20000
CopyOnWriteArrayList,4169178150,46,18000,2000,20000
CopyOnWriteArrayList,4302850616,47,18000,2000,20000
CopyOnWriteArrayList,4514032456,48,18000,2000,20000
CopyOnWriteArrayList,4715060986,49,18000,2000,20000
CopyOnWriteArrayList,4823708632,50,18000,2000,20000
CopyOnWriteArrayList,5059476185,51,18000,2000,20000
CopyOnWriteArrayList,5232286028,52,18000,2000,20000
CopyOnWriteArrayList,5388436659,53,18000,2000,20000
CopyOnWriteArrayList,5637488188,54,18000,2000,20000
CopyOnWriteArrayList,5854457777,55,18000,2000,20000
CopyOnWriteArrayList,6054844092,56,18000,2000,20000
CopyOnWriteArrayList,6257405977,57,18000,2000,20000
CopyOnWriteArrayList,6334927773,58,18000,2000,20000
CopyOnWriteArrayList,6917332464,59,18000,2000,20000
CopyOnWriteArrayList,6788740024,60,18000,2000,20000
SynchronizedList,8600228,1,18000,2000,20000
SynchronizedList,10910663,2,18000,2000,20000
SynchronizedList,10837056,3,18000,2000,20000
SynchronizedList,7837988,4,18000,2000,20000
SynchronizedList,15315307,5,18000,2000,20000
SynchronizedList,14342649,6,18000,2000,20000
SynchronizedList,24094540,7,18000,2000,20000
SynchronizedList,20649752,8,18000,2000,20000
SynchronizedList,27942311,9,18000,2000,20000
SynchronizedList,23644627,10,18000,2000,20000
SynchronizedList,27956018,11,18000,2000,20000
SynchronizedList,25724448,12,18000,2000,20000
SynchronizedList,28585910,13,18000,2000,20000
SynchronizedList,28470489,14,18000,2000,20000
SynchronizedList,29512848,15,18000,2000,20000
SynchronizedList,33475717,16,18000,2000,20000
SynchronizedList,38803563,17,18000,2000,20000
SynchronizedList,37567226,18,18000,2000,20000
SynchronizedList,41652340,19,18000,2000,20000
SynchronizedList,41930395,20,18000,2000,20000
SynchronizedList,51675523,21,18000,2000,20000
SynchronizedList,40732281,22,18000,2000,20000
SynchronizedList,47106830,23,18000,2000,20000
SynchronizedList,54425507,24,18000,2000,20000
SynchronizedList,52667374,25,18000,2000,20000
SynchronizedList,54396127,26,18000,2000,20000
SynchronizedList,54657180,27,18000,2000,20000
SynchronizedList,50350438,28,18000,2000,20000
SynchronizedList,61895446,29,18000,2000,20000
SynchronizedList,63260030,30,18000,2000,20000
SynchronizedList,65083253,31,18000,2000,20000
SynchronizedList,68167706,32,18000,2000,20000
SynchronizedList,63068983,33,18000,2000,20000
SynchronizedList,74205691,34,18000,2000,20000
SynchronizedList,75481113,35,18000,2000,20000
