COLLECTION,RUNTIME (ns),Threads,READOP,WRITEOP,TOTALOP
CopyOnWriteArrayList,6649263,1,19800,200,20000
CopyOnWriteArrayList,6738017,2,19800,200,20000
CopyOnWriteArrayList,6064923,3,19800,200,20000
CopyOnWriteArrayList,5998983,4,19800,200,20000
CopyOnWriteArrayList,13787665,5,19800,200,20000
CopyOnWriteArrayList,11893683,6,19800,200,20000
CopyOnWriteArrayList,8578347,7,19800,200,20000
CopyOnWriteArrayList,9944478,8,19800,200,20000
CopyOnWriteArrayList,9835959,9,19800,200,20000
CopyOnWriteArrayList,5762034,10,19800,200,20000
CopyOnWriteArrayList,7909854,11,19800,200,20000
CopyOnWriteArrayList,18545393,12,19800,200,20000
CopyOnWriteArrayList,8591329,13,19800,200,20000
CopyOnWriteArrayList,15573781,14,19800,200,20000
CopyOnWriteArrayList,6367849,15,19800,200,20000
CopyOnWriteArrayList,16751644,16,19800,200,20000
CopyOnWriteArrayList,40977820,17,19800,200,20000
CopyOnWriteArrayList,8661176,18,19800,200,20000
CopyOnWriteArrayList,16104787,19,19800,200,20000
CopyOnWriteArrayList,25891371,20,19800,200,20000
CopyOnWriteArrayList,21218944,21,19800,200,20000
CopyOnWriteArrayList,51545556,22,19800,200,20000
CopyOnWriteArrayList,32440759,23,19800,200,20000
CopyOnWriteArrayList,22103637,24,19800,200,20000
CopyOnWriteArrayList,32299688,25,19800,200,20000
CopyOnWriteArrayList,25034391,26,19800,200,20000
CopyOnWriteArrayList,42652542,27,19800,200,20000
CopyOnWriteArrayList,77101559,28,19800,200,20000
CopyOnWriteArrayList,49753217,29,19800,200,20000
CopyOnWriteArrayList,34435682,30,19800,200,20000
CopyOnWriteArrayList,36255249,31,19800,200,20000
CopyOnWriteArrayList,45586060,32,19800,200,20000
CopyOnWriteArrayList,35440170,33,19800,200,20000
CopyOnWriteArrayList,36959714,34,19800,200,20000
CopyOnWriteArrayList,80649939,35,19800,200,20000
CopyOnWriteArrayList,44461872,36,19800,200,20000
CopyOnWriteArrayList,44499079,37,19800,200,20000
CopyOnWriteArrayList,48455490,38,19800,200,20000
CopyOnWriteArrayList,46191711,39,19800,200,20000
CopyOnWriteArrayList,56289318,40,19800,200,20000
CopyOnWriteArrayList,53686864,41,19800,200,20000
CopyOnWriteArrayList,61412568,42,19800,200,20000
CopyOnWriteArrayList,68987925,43,19800,200,20000
CopyOnWriteArrayList,64282136,44,19800,200,20000
CopyOnWriteArrayList,65918512,45,19800,200,20000
CopyOnWriteArrayList,72062038,46,19800,200,20000
CopyOnWriteArrayList,70224809,47,19800,200,20000
CopyOnWriteArrayList,76340117,48,19800,200,20000
CopyOnWriteArrayList,79533806,49,19800,200,20000
CopyOnWriteArrayList,82156629,50,19800,200,20000
CopyOnWriteArrayList,83258598,51,19800,200,20000
CopyOnWriteArrayList,95091692,52,19800,200,20000
CopyOnWriteArrayList,91628972,53,19800,200,20000
CopyOnWriteArrayList,93876140,54,19800,200,20000
CopyOnWriteArrayList,105269037,55,19800,200,20000
CopyOnWriteArrayList,99990693,56,19800,200,20000
CopyOnWriteArrayList,105484908,57,19800,200,20000
CopyOnWriteArrayList,107651884,58,19800,200,20000
CopyOnWriteArrayList,110789004,59,19800,200,20000
CopyOnWriteArrayList,118969999,60,19800,200,20000
SynchronizedList,7816381,1,19800,200,20000
SynchronizedList,11023948,2,19800,200,20000
SynchronizedList,10163856,3,19800,200,20000
SynchronizedList,13653727,4,19800,200,20000
SynchronizedList,14688444,5,19800,200,20000
SynchronizedList,19260061,6,19800,200,20000
SynchronizedList,16527227,7,19800,200,20000
SynchronizedList,22452573,8,19800,200,20000
SynchronizedList,22020922,9,19800,200,20000
SynchronizedList,28708228,10,19800,200,20000
SynchronizedList,20576794,11,19800,200,20000
SynchronizedList,29047634,12,19800,200,20000
SynchronizedList,29835593,13,19800,200,20000
SynchronizedList,29906877,14,19800,200,20000
SynchronizedList,32214900,15,19800,200,20000
SynchronizedList,40803065,16,19800,200,20000
SynchronizedList,42806980,17,19800,200,20000
SynchronizedList,39434362,18,19800,200,20000
SynchronizedList,37991413,19,19800,200,20000
SynchronizedList,42612067,20,19800,200,20000
SynchronizedList,46184537,21,19800,200,20000
SynchronizedList,49563190,22,19800,200,20000
SynchronizedList,47320028,23,19800,200,20000
SynchronizedList,65190857,24,19800,200,20000
SynchronizedList,52266867,25,19800,200,20000
SynchronizedList,58217474,26,19800,200,20000
SynchronizedList,61076626,27,19800,200,20000
SynchronizedList,60854523,28,19800,200,20000
SynchronizedList,62624656,29,19800,200,20000
SynchronizedList,66440588,30,19800,200,20000
SynchronizedList,68458354,31,19800,200,20000
SynchronizedList,71058193,32,19800,200,20000
SynchronizedList,74686580,33,19800,200,20000
SynchronizedList,73337509,34,19800,200,20000
SynchronizedList,76052907,35,19800,200,20000
SynchronizedList,81695924,36,19800,200,20000
SynchronizedList,85015181,37,19800,200,20000
SynchronizedList,85987324,38,19800,200,20000
SynchronizedList,85110388,39,19800,200,20000
SynchronizedList,96453997,40,19800,200,20000
SynchronizedList,95499597,41,19800,200,20000
SynchronizedList,90335856,42,19800,200,20000
SynchronizedList,91584561,43,19800,200,20000
SynchronizedList,95802378,44,19800,200,20000
SynchronizedList,103026281,45,19800,200,20000
SynchronizedList,111146502,46,19800,200,20000
SynchronizedList,103036033,47,19800,200,20000
SynchronizedList,112399144,48,19800,200,20000
SynchronizedList,99660595,49,19800,200,20000
SynchronizedList,106474372,50,19800,200,20000
SynchronizedList,110961455,51,19800,200,20000
SynchronizedList,112080688,52,19800,200,20000
SynchronizedList,117901562,53,19800,200,20000
SynchronizedList,124360399,54,19800,200,20000
SynchronizedList,125116601,55,19800,200,20000
SynchronizedList,121134920,56,19800,200,20000
SynchronizedList,125926394,57,19800,200,20000
SynchronizedList,130750944,58,19800,200,20000
SynchronizedList,129883068,59,19800,200,20000
SynchronizedList,133099849,60,19800,200,20000
CopyOnWriteArrayList,4072858,1,9900,100,10000
CopyOnWriteArrayList,3635436,2,9900,100,10000
CopyOnWriteArrayList,8892857,3,9900,100,10000
CopyOnWriteArrayList,4070251,4,9900,100,10000
CopyOnWriteArrayList,4331187,5,9900,100,10000
CopyOnWriteArrayList,4610592,6,9900,100,10000
CopyOnWriteArrayList,9222502,7,9900,100,10000
CopyOnWriteArrayList,10219901,8,9900,100,10000
CopyOnWriteArrayList,18178685,9,9900,100,10000
CopyOnWriteArrayList,2271040,10,9900,100,10000
CopyOnWriteArrayList,3063948,11,9900,100,10000
CopyOnWriteArrayList,4914841,12,9900,100,10000
CopyOnWriteArrayList,4334753,13,9900,100,10000
CopyOnWriteArrayList,7464611,14,9900,100,10000
CopyOnWriteArrayList,4728240,15,9900,100,10000
CopyOnWriteArrayList,3584809,16,9900,100,10000
CopyOnWriteArrayList,8568451,17,9900,100,10000
CopyOnWriteArrayList,13713053,18,9900,100,10000
CopyOnWriteArrayList,10679654,19,9900,100,10000
CopyOnWriteArrayList,4282777,20,9900,100,10000
CopyOnWriteArrayList,8449738,21,9900,100,10000
CopyOnWriteArrayList,10477677,22,9900,100,10000
CopyOnWriteArrayList,12907061,23,9900,100,10000
CopyOnWriteArrayList,9956793,24,9900,100,10000
CopyOnWriteArrayList,14957896,25,9900,100,10000
CopyOnWriteArrayList,16308157,26,9900,100,10000
CopyOnWriteArrayList,8916363,27,9900,100,10000
CopyOnWriteArrayList,17194250,28,9900,100,10000
CopyOnWriteArrayList,21417107,29,9900,100,10000
CopyOnWriteArrayList,13840138,30,9900,100,10000
CopyOnWriteArrayList,10716368,31,9900,100,10000
CopyOnWriteArrayList,14062367,32,9900,100,10000
CopyOnWriteArrayList,31256648,33,9900,100,10000
CopyOnWriteArrayList,34864787,34,9900,100,10000
CopyOnWriteArrayList,20837210,35,9900,100,10000
CopyOnWriteArrayList,13389321,36,9900,100,10000
CopyOnWriteArrayList,17102686,37,9900,100,10000
CopyOnWriteArrayList,16899860,38,9900,100,10000
CopyOnWriteArrayList,15378172,39,9900,100,10000
CopyOnWriteArrayList,16861707,40,9900,100,10000
CopyOnWriteArrayList,30488718,41,9900,100,10000
CopyOnWriteArrayList,42505791,42,9900,100,10000
CopyOnWriteArrayList,25235484,43,9900,100,10000
CopyOnWriteArrayList,17082138,44,9900,100,10000
CopyOnWriteArrayList,20749361,45,9900,100,10000
CopyOnWriteArrayList,34729251,46,9900,100,10000
CopyOnWriteArrayList,37571694,47,9900,100,10000
CopyOnWriteArrayList,29175428,48,9900,100,10000
CopyOnWriteArrayList,20515971,49,9900,100,10000
CopyOnWriteArrayList,25629612,50,9900,100,10000
CopyOnWriteArrayList,24325105,51,9900,100,10000
CopyOnWriteArrayList,50222646,52,9900,100,10000
CopyOnWriteArrayList,60681621,53,9900,100,10000
CopyOnWriteArrayList,27838839,54,9900,100,10000
CopyOnWriteArrayList,27462379,55,9900,100,10000
CopyOnWriteArrayList,32786115,56,9900,100,10000
CopyOnWriteArrayList,34188185,57,9900,100,10000
CopyOnWriteArrayList,29261593,58,9900,100,10000
CopyOnWriteArrayList,30993895,59,9900,100,10000
CopyOnWriteArrayList,34307533,60,9900,100,10000
SynchronizedList,6310192,1,9900,100,10000
SynchronizedList,4516199,2,9900,100,10000
SynchronizedList,9802674,3,9900,100,10000
SynchronizedList,5778393,4,9900,100,10000
SynchronizedList,9750710,5,9900,100,10000
SynchronizedList,12088039,6,9900,100,10000
SynchronizedList,12697410,7,9900,100,10000
SynchronizedList,10528110,8,9900,100,10000
SynchronizedList,8090318,9,9900,100,10000
SynchronizedList,17638000,10,9900,100,10000
SynchronizedList,12744216,11,9900,100,10000
SynchronizedList,11828666,12,9900,100,10000
SynchronizedList,15834393,13,9900,100,10000
SynchronizedList,17565482,14,9900,100,10000
SynchronizedList,19231707,15,9900,100,10000
SynchronizedList,18536535,16,9900,100,10000
SynchronizedList,20249317,17,9900,100,10000
SynchronizedList,20458072,18,9900,100,10000
SynchronizedList,19784022,19,9900,100,10000
SynchronizedList,21541904,20,9900,100,10000
SynchronizedList,27000938,21,9900,100,10000
SynchronizedList,25284640,22,9900,100,10000
SynchronizedList,26562047,23,9900,100,10000
SynchronizedList,29782589,24,9900,100,10000
SynchronizedList,36288736,25,9900,100,10000
SynchronizedList,35930640,26,9900,100,10000
SynchronizedList,33284384,27,9900,100,10000
SynchronizedList,30353285,28,9900,100,10000
SynchronizedList,40700561,29,9900,100,10000
SynchronizedList,38581615,30,9900,100,10000
SynchronizedList,37952208,31,9900,100,10000
SynchronizedList,38406138,32,9900,100,10000
SynchronizedList,36868235,33,9900,100,10000
SynchronizedList,38902371,34,9900,100,10000
SynchronizedList,39980485,35,9900,100,10000
SynchronizedList,43602530,36,9900,100,10000
SynchronizedList,40097862,37,9900,100,10000
SynchronizedList,44537900,38,9900,100,10000
SynchronizedList,46769333,39,9900,100,10000
SynchronizedList,47124380,40,9900,100,10000
SynchronizedList,45783154,41,9900,100,10000
SynchronizedList,46682780,42,9900,100,10000
SynchronizedList,49294362,43,9900,100,10000
SynchronizedList,52545020,44,9900,100,10000
SynchronizedList,48527895,45,9900,100,10000
SynchronizedList,50822836,46,9900,100,10000
SynchronizedList,56356058,47,9900,100,10000
SynchronizedList,52863531,48,9900,100,10000
SynchronizedList,55472488,49,9900,100,10000
SynchronizedList,57857394,50,9900,100,10000
SynchronizedList,59509727,51,9900,100,10000
SynchronizedList,55760789,52,9900,100,10000
SynchronizedList,55026127,53,9900,100,10000
SynchronizedList,63104813,54,9900,100,10000
SynchronizedList,61823064,55,9900,100,10000
SynchronizedList,64306750,56,9900,100,10000
SynchronizedList,65641955,57,9900,100,10000
SynchronizedList,68597942,58,9900,100,10000
SynchronizedList,66074058,59,9900,100,10000
SynchronizedList,68470092,60,9900,100,10000
CopyOnWriteArrayList,2597309,1,4950,50,5000
CopyOnWriteArrayList,3049629,2,4950,50,5000
CopyOnWriteArrayList,3327440,3,4950,50,5000
CopyOnWriteArrayList,4032339,4,4950,50,5000
CopyOnWriteArrayList,2590808,5,4950,50,5000
CopyOnWriteArrayList,3120344,6,4950,50,5000
CopyOnWriteArrayList,9048677,7,4950,50,5000
CopyOnWriteArrayList,6310650,8,4950,50,5000
CopyOnWriteArrayList,13088295,9,4950,50,5000
CopyOnWriteArrayList,11056063,10,4950,50,5000
CopyOnWriteArrayList,2180435,11,4950,50,5000
CopyOnWriteArrayList,2123842,12,4950,50,5000
CopyOnWriteArrayList,2148005,13,4950,50,5000
CopyOnWriteArrayList,2267455,14,4950,50,5000
CopyOnWriteArrayList,2538840,15,4950,50,5000
CopyOnWriteArrayList,8884560,16,4950,50,5000
CopyOnWriteArrayList,2831984,17,4950,50,5000
CopyOnWriteArrayList,7402241,18,4950,50,5000
CopyOnWriteArrayList,7321640,19,4950,50,5000
CopyOnWriteArrayList,3374493,20,4950,50,5000
CopyOnWriteArrayList,5026645,21,4950,50,5000
CopyOnWriteArrayList,6357911,22,4950,50,5000
CopyOnWriteArrayList,9017368,23,4950,50,5000
CopyOnWriteArrayList,9071217,24,4950,50,5000
CopyOnWriteArrayList,9998880,25,4950,50,5000
CopyOnWriteArrayList,3236854,26,4950,50,5000
CopyOnWriteArrayList,6136364,27,4950,50,5000
CopyOnWriteArrayList,12638759,28,4950,50,5000
CopyOnWriteArrayList,5573075,29,4950,50,5000
CopyOnWriteArrayList,7069047,30,4950,50,5000
CopyOnWriteArrayList,6624947,31,4950,50,5000
CopyOnWriteArrayList,6816835,32,4950,50,5000
CopyOnWriteArrayList,7434794,33,4950,50,5000
CopyOnWriteArrayList,4907832,34,4950,50,5000
CopyOnWriteArrayList,9186349,35,4950,50,5000
CopyOnWriteArrayList,13890692,36,4950,50,5000
CopyOnWriteArrayList,16320871,37,4950,50,5000
CopyOnWriteArrayList,10196851,38,4950,50,5000
CopyOnWriteArrayList,12045513,39,4950,50,5000
CopyOnWriteArrayList,5744701,40,4950,50,5000
CopyOnWriteArrayList,9121485,41,4950,50,5000
CopyOnWriteArrayList,9750712,42,4950,50,5000
CopyOnWriteArrayList,17462258,43,4950,50,5000
CopyOnWriteArrayList,21825256,44,4950,50,5000
CopyOnWriteArrayList,6215744,45,4950,50,5000
CopyOnWriteArrayList,9094225,46,4950,50,5000
CopyOnWriteArrayList,6330583,47,4950,50,5000
CopyOnWriteArrayList,11472082,48,4950,50,5000
CopyOnWriteArrayList,16332875,49,4950,50,5000
CopyOnWriteArrayList,22253493,50,4950,50,5000
CopyOnWriteArrayList,24990071,51,4950,50,5000
CopyOnWriteArrayList,24273307,52,4950,50,5000
CopyOnWriteArrayList,10219119,53,4950,50,5000
CopyOnWriteArrayList,8433674,54,4950,50,5000
CopyOnWriteArrayList,13674993,55,4950,50,5000
CopyOnWriteArrayList,14228397,56,4950,50,5000
CopyOnWriteArrayList,15430189,57,4950,50,5000
CopyOnWriteArrayList,14947036,58,4950,50,5000
CopyOnWriteArrayList,11492432,59,4950,50,5000
CopyOnWriteArrayList,12586199,60,4950,50,5000
SynchronizedList,5061356,1,4950,50,5000
SynchronizedList,5975951,2,4950,50,5000
SynchronizedList,3922634,3,4950,50,5000
SynchronizedList,6993386,4,4950,50,5000
SynchronizedList,7083082,5,4950,50,5000
SynchronizedList,4112526,6,4950,50,5000
SynchronizedList,9596935,7,4950,50,5000
SynchronizedList,13073850,8,4950,50,5000
SynchronizedList,17765707,9,4950,50,5000
SynchronizedList,6721299,10,4950,50,5000
SynchronizedList,10185238,11,4950,50,5000
SynchronizedList,7052293,12,4950,50,5000
SynchronizedList,10040081,13,4950,50,5000
SynchronizedList,8521382,14,4950,50,5000
SynchronizedList,13546239,15,4950,50,5000
SynchronizedList,10197227,16,4950,50,5000
SynchronizedList,10869057,17,4950,50,5000
SynchronizedList,11998851,18,4950,50,5000
SynchronizedList,11800810,19,4950,50,5000
SynchronizedList,12767598,20,4950,50,5000
SynchronizedList,15505384,21,4950,50,5000
SynchronizedList,13522470,22,4950,50,5000
SynchronizedList,17873738,23,4950,50,5000
SynchronizedList,14729712,24,4950,50,5000
SynchronizedList,18531132,25,4950,50,5000
SynchronizedList,21052382,26,4950,50,5000
SynchronizedList,18020988,27,4950,50,5000
SynchronizedList,19253435,28,4950,50,5000
SynchronizedList,20464841,29,4950,50,5000
SynchronizedList,21596823,30,4950,50,5000
SynchronizedList,20427994,31,4950,50,5000
SynchronizedList,19661555,32,4950,50,5000
SynchronizedList,20444356,33,4950,50,5000
SynchronizedList,20619368,34,4950,50,5000
SynchronizedList,22825962,35,4950,50,5000
SynchronizedList,22808295,36,4950,50,5000
SynchronizedList,21210218,37,4950,50,5000
SynchronizedList,24944001,38,4950,50,5000
SynchronizedList,22552836,39,4950,50,5000
SynchronizedList,23813493,40,4950,50,5000
SynchronizedList,22976937,41,4950,50,5000
SynchronizedList,23890851,42,4950,50,5000
SynchronizedList,26996196,43,4950,50,5000
SynchronizedList,28096950,44,4950,50,5000
SynchronizedList,27736132,45,4950,50,5000
SynchronizedList,32621253,46,4950,50,5000
SynchronizedList,29491696,47,4950,50,5000
SynchronizedList,26993317,48,4950,50,5000
SynchronizedList,27430714,49,4950,50,5000
SynchronizedList,31057890,50,4950,50,5000
SynchronizedList,32547572,51,4950,50,5000
SynchronizedList,32026849,52,4950,50,5000
SynchronizedList,31346183,53,4950,50,5000
SynchronizedList,33363784,54,4950,50,5000
SynchronizedList,35753051,55,4950,50,5000
SynchronizedList,32803467,56,4950,50,5000
SynchronizedList,34244132,57,4950,50,5000
SynchronizedList,36660826,58,4950,50,5000
SynchronizedList,34841504,59,4950,50,5000
SynchronizedList,35805695,60,4950,50,5000
CopyOnWriteArrayList,2896764,1,990,10,1000
CopyOnWriteArrayList,1229843,2,990,10,1000
CopyOnWriteArrayList,900787,3,990,10,1000
CopyOnWriteArrayList,1865532,4,990,10,1000
CopyOnWriteArrayList,1195485,5,990,10,1000
CopyOnWriteArrayList,1822517,6,990,10,1000
CopyOnWriteArrayList,2342505,7,990,10,1000
CopyOnWriteArrayList,1640217,8,990,10,1000
CopyOnWriteArrayList,1938569,9,990,10,1000
CopyOnWriteArrayList,9846601,10,990,10,1000
CopyOnWriteArrayList,4338418,11,990,10,1000
CopyOnWriteArrayList,13154763,12,990,10,1000
CopyOnWriteArrayList,1846857,13,990,10,1000
CopyOnWriteArrayList,2261626,14,990,10,1000
CopyOnWriteArrayList,5237981,15,990,10,1000
CopyOnWriteArrayList,10405085,16,990,10,1000
CopyOnWriteArrayList,9699774,17,990,10,1000
CopyOnWriteArrayList,5469119,18,990,10,1000
CopyOnWriteArrayList,4117565,19,990,10,1000
CopyOnWriteArrayList,4693210,20,990,10,1000
